,daily_index_returns
2021-01-28,-0.10967416336204779
2021-01-29,0.02354877829178531
2021-01-30,0.017200082694546526
2021-01-31,-0.004315469402689683
2021-02-01,-0.018603214187022897
2021-02-02,0.04647396609856126
2021-02-03,0.05556808422256919
2021-02-04,0.031485302542978454
2021-02-05,-0.021360143740809752
2021-02-06,0.16656089263883966
2021-02-07,-0.042380817363064066
2021-02-08,0.0057352357206760275
2021-02-09,0.21101604850414532
2021-02-10,0.03311751828369116
2021-02-11,-0.006980926808095339
2021-02-12,0.0870588609874477
2021-02-13,0.05224318662175982
2021-02-14,0.11654367881928127
2021-02-15,0.003794427368328992
2021-02-16,0.029500260159133485
2021-02-17,0.008853486275190678
2021-02-18,0.02074047528539124
2021-02-19,0.05210372163612873
2021-02-20,0.0594273137779801
2021-02-21,-0.021585983506687344
2021-02-22,0.020841420119036953
2021-02-23,-0.0537805751206624
2021-02-24,-0.11089491964695267
2021-02-25,0.09862733766943538
2021-02-26,-0.0526281722696599
2021-02-27,0.02158856925253505
2021-02-28,0.03640040416489993
2021-03-01,-0.02642393245367688
2021-03-02,0.1247480454794756
2021-03-03,0.09575920094800675
2021-03-04,0.16925495167925395
2021-03-05,0.14710145601836996
2021-03-06,-0.06968019558351113
2021-03-07,0.01894097694836377
2021-03-08,0.07349634880206218
2021-03-09,0.19367544774375497
2021-03-10,0.09236389922375371
2021-03-11,0.0819395814600948
2021-03-12,0.11055466328586509
2021-03-13,0.28005463579130574
2021-03-14,0.019972678905273294
2021-03-15,0.0823754855104875
2021-03-16,-0.020735686947123314
2021-03-17,-0.0338047249413926
2021-03-18,0.07113626430619628
2021-03-19,0.04739673258686009
2021-03-20,0.011032040047972617
2021-03-21,-0.03895550808467168
2021-03-22,0.07649983344593524
2021-03-23,-0.013762350637742162
2021-03-24,0.14819008456799485
2021-03-25,-0.07795020130673366
2021-03-26,0.08664480073916761
2021-03-27,0.03359827496837457
2021-03-28,0.007410660566715729
2021-03-29,0.06944135530656073
2021-03-30,0.01426489787048369
2021-03-31,-0.0007489008544597337
2021-04-01,-0.025376643705783318
2021-04-02,-0.05247928153798086
2021-04-03,0.009024793536324828
2021-04-04,-0.047125990402099985
2021-04-05,0.0597802017206395
2021-04-06,0.003997089435366047
